DATA,DÉBITO/CRÉDITO $,SALDO,HISTÓRICO DE FLUXO,CONTAS-AGRUPAMENTO
1/2/2020,8,"145543,59",Ajuste de credito ref. Aplicação automatica,BANCO
1/2/2020,-7593,"137950,59",Pgto Condomínio Ed Metropolitan,FIXA
1/2/2020,-4500,"133450,59",Pgto Paula Iglesias, PGTO FUNC.
1/2/2020,-758,"132692,59",Reembolso Fabio Amaral - Microsoft,REEMBOLSO
1/2/2020,-9834,"122858,59",Pgto Cartão de Crédito Visa,TARIFAS ADICIONAIS
1/3/2020,5,"122863,59",Ajuste de credito ref. Aplicação automatica,BANCO
1/3/2020,-338,"122525,59",Pgto Host Fiber - Link BKP,PGTO FUNC.
1/3/2020,-1352,"121173,59",Pgto Host Fiber - Link Principal,PGTO FUNC.
1/6/2020,10,"121183,59",Ajuste de credito ref. Aplicação automatica,BANCO
1/6/2020,758,"121941,59",Devolução Reembolso Fabio Amaral - Microsoft,REEMBOLSO
1/6/2020,15000,"136941,59",Credito TOLLOG - Taxa Gestão Dez/19,BANCO
1/6/2020,313325,"450266,59",Credito Symphony - Taxa Gestão Dez/19,BANCO
1/6/2020,-30086,"420180,59",Pgto JHSF Aluguel,PGTO FUNC.
1/6/2020,-472,"419708,59",Pgto Signallink,PGTO FUNC.
1/6/2020,-1065,"418643,59",Pgto Everton Mensageiro,PGTO FUNC.
1/6/2020,-2000,"416643,59",Pgto Contabilidade,PGTO FUNC.
1/6/2020,-3599,"413044,59",Pgto C de Campos Trans e Serv Ter,PGTO FUNC.
1/6/2020,-17850,"395194,59",Pgto QCP - Qualitas Capital Partners,PGTO FUNC.
1/6/2020,-2447,"392747,59",Pgto Flávio Rietmann,PGTO FUNC.
1/6/2020,-30000,"362747,59",Pgto Rodrigo Moratelli,PGTO FUNC.
1/6/2020,-15000,"347747,59",Pgto Guilherme Marques,PGTO FUNC.
1/6/2020,-11000,"336747,59",Pgto Danilo Tamburus,PGTO FUNC.
1/6/2020,-10000,"326747,59",Pgto Sergio Rossi,PGTO FUNC.
1/6/2020,-9340,"317407,59",Pgto Fabio Amaral,PGTO FUNC.
1/6/2020,-8000,"309407,59",Pgto Isadora Ferreira,PGTO FUNC.
1/6/2020,-5000,"304407,59",Pgto Leonardo de Luca,PGTO FUNC.
1/6/2020,-5000,"299407,59",Pgto Fernando Daier,PGTO FUNC.
1/6/2020,-9240,"290167,59",Pgto Lidiberto,PGTO FUNC.
1/6/2020,-17,"290150,59",Anuidade Cartão de Crédito,BANCO
1/7/2020,7,"290157,59",Ajuste de credito ref. Aplicação automatica,BANCO
1/7/2020,1117471,"1407628,59",Credito Symphony - Taxa Performance Dez/19,BANCO
1/7/2020,85000,"1492628,59",Credito Monte Carlo - Taxa Gestão Nov/19,BANCO
1/7/2020,-677,"1491951,59",Pgto FGTS,TARIFAS ADICIONAIS
1/7/2020,-210,"1491741,59",Pgto Prizemed,TARIFAS ADICIONAIS
1/7/2020,-2940,"1488801,59",Pgto MSX Consult Nf 808,TARIFAS ADICIONAIS
1/7/2020,-2738,"1486063,59",Pgto MSX Consult Nf 809,TARIFAS ADICIONAIS
1/7/2020,-10,"1486053,59",Tarifa Bancária DOC/TED,TARIFAS ADICIONAIS
1/8/2020,8,"1486061,59",Ajuste de credito ref. Aplicação automatica,BANCO
1/8/2020,12454,"1498515,59",Credito Veritas TOP - Taxa Performance 2° Semestre 2019,BANCO
1/8/2020,4122,"1502637,59",Credito Veritas TOP - Taxa Gestão Dez/19,BANCO
1/8/2020,168,"1502805,59",Credito Veritas TOP - Taxa Performance Dez/19,BANCO
1/8/2020,16656,"1519461,59",Credito Multiplica - Taxa Gestão Dez/19,BANCO
1/8/2020,26602,"1546063,59",Credito Veritas Apogeu I FIDC - Taxa Gestão - Dez/19,BANCO
1/8/2020,27741,"1573804,59",Credito Veritas Apogeu FIM - Taxa Gestão Dez/19,BANCO
1/8/2020,141074,"1714878,59",Credito Veritas Apogeu FIM - Taxa Performance 2° Sem/19,BANCO
1/8/2020,302383,"2017261,59",Credito NINKA - Taxa Gestão Dez/19,BANCO
1/8/2020,1922389,"3939650,59",Credito NINKA - Taxa Performance 2° Sem/19,BANCO
1/8/2020,185184,"4124834,59",Credito MERAK - Taxa Gestão Dez/19,BANCO
1/8/2020,800792,"4925626,59",Credito MERAK - Taxa Performance 2° Sem/19,BANCO
1/8/2020,466085,"5391711,59",Credito Marte - Taxa Gestão Dez/19,BANCO
1/8/2020,148309,"5540020,59",Credito CJP - Taxa Gestão - Dez/19,BANCO
1/8/2020,25000,"5565020,59",Credito Singapore - Taxa Gestão Dez/19,BANCO
1/8/2020,85000,"5650020,59",Credito TMJ IMA-B - Taxa Gestão Dez/19,BANCO
1/8/2020,-80151,"5569869,59",Antecipação de Dividendos - Guilherme,REEMBOLSO
1/8/2020,-15666,"5554203,59",Antecipação de Dividendos - Danilo,REEMBOLSO
1/8/2020,-20,"5554183,59",Tarifa Bancária DOC/TED,BANCO
1/8/2020,-24,"5554159,59",Tarifa Bancária Funcs Net Empresa,BANCO
1/9/2020,10,"5554169,59",Ajuste de credito ref. Aplicação automatica,BANCO
1/9/2020,-903200,"4650969,59",Antecipação de Dividendos - Qualitas,BANCO
1/9/2020,-500000,"4150969,59",Antecipação de Dividendos - Rodrigo,BANCO
1/9/2020,-398,"4150571,59",Pgto 99 Tecnologia,BANCO
1/9/2020,-7596,"4142975,59",Pgto Quick Soft,BANCO
1/9/2020,-10,"4142965,59",Tarifa Bancáris DOC/TED,BANCO
1/10/2020,10,"4142975,59",Ajuste de credito ref. Aplicação automatica,BANCO
1/10/2020,-500000,"3642975,59",Aplicação Veritas TOP,BANCO
1/10/2020,-257,"3642718,59",Pgto Cartório,BANCO
1/10/2020,-2180,"3640538,59",Pgto Prajna,BANCO
1/10/2020,-39012,"3601526,59",Pgto ISS,BANCO
1/10/2020,-1269,"3600257,59",Taxa CVM - VCM Gestão 1° Trim,BANCO
1/10/2020,-634,"3599623,59",Taxa CVM - Rodrigo 1° Trim,BANCO
1/10/2020,-10,"3599613,59",Tarifa Bancáris DOC/TED,BANCO
1/10/2020,-261,"3599352,59",Pgto Seguro Estagiário - Leandro Costa,BANCO
1/10/2020,-261,"3599091,59",Pgto Seguro Estagiário - Andre Chicago,BANCO
1/10/2020,-1385,"3597706,59",Pgto Cartão de Crédito Elo,BANCO
1/10/2020,-8307,"3589399,59",Pgto Cartão Credito Master,BANCO
1/13/2020,66,"3589465,59",Ajuste de credito ref. Aplicação automatica,BANCO
1/13/2020,-575,"3588890,59",Pgto Imigrantes Bebidas,BANCO
1/13/2020,-500,"3588390,59",Pgto Criação e Imagem,BANCO
1/13/2020,-88000,"3500390,59",Pgto Catania Consultoria,BANCO
1/13/2020,-53963,"3446427,59",Pgto Barela Berbel e Mitne NF1411,BANCO
1/13/2020,-151,"3446276,59",Reembolso Contabilidade Taxa Jucesp,BANCO
1/13/2020,-31,"3446245,59",Tarifa Bancária DOC/TED,BANCO
1/14/2020,81,"3446326,59",Ajuste de credito ref. Aplicação automatica,BANCO
1/14/2020,-1877000,"1569326,59","Pgto Guilherme Bussadori NF 106 R$2.000.000,00",BANCO
1/14/2020,-121450,"1447876,59",Pgto Montjoie Acessoria NF 068,BANCO
1/14/2020,-1000,"1446876,59",Pgto Elaboração Alteração Contratual - Contabilidade,BANCO
1/14/2020,-6500,"1440376,59",Pgto Enrico Mollica NF 054 7/10,BANCO
1/14/2020,-31,"1440345,59",Tarifa Bancária DOC/TED,BANCO
1/15/2020,43,"1440388,59",Ajuste de credito ref. Aplicação automatica,BANCO
1/15/2020,1435,"1441823,59",Credito CVP Consultoria - Nov/19,BANCO
1/15/2020,1298,"1443121,59",Credito CVP Consultoria - Dez/19,BANCO
1/15/2020,-255,"1442866,59",Pgto Estacionamento Parkimetro,BANCO
1/15/2020,-334,"1442532,59",Pgto Conect -Serasa,BANCO
1/15/2020,-9568,"1432964,59",Pgto Scansource - Licença Azurecsp,BANCO
1/15/2020,-507,"1432457,59",Pgto Scansource,BANCO
1/15/2020,-476,"1431981,59",Pgto CRDC,BANCO
1/15/2020,-40000,"1391981,59",Antecipação de Dividendos - Qualitas,BANCO
1/15/2020,-40000,"1351981,59",Antecipação de Dividendos - Rodrigo,BANCO
1/15/2020,-10,"1351971,59",Tarifa Bancária DOC/TED,BANCO
1/15/2020,-79,"1351892,59",Tarifa Bancária Max Empresarial,BANCO
1/16/2020,51,"1351943,59",Ajuste de credito ref. Aplicação automatica,BANCO
1/16/2020,-2475,"1349468,59",Pgto Nestle NF 2040761,BANCO
1/17/2020,71,"1349539,59",Ajuste de credito ref. Aplicação automatica,BANCO
1/17/2020,-14807,"1334732,59",Pgto Lote 45 NF 4506,BANCO
1/17/2020,-2000,"1332732,59",Pgto Lote 45 NF 4507,BANCO
1/17/2020,-826,"1331906,59",VR Estagiários 10 dias Jan,BANCO
1/20/2020,147,"1332053,59",Ajuste de credito ref. Aplicação automatica,BANCO
1/20/2020,85066,"1417119,59",Credito Postalis Taxa Performance DEZ/19,BANCO
1/20/2020,51473,"1468592,59",Credito Postalis Taxa Cobrança DEZ/19,BANCO
1/20/2020,-9701,"1458891,59",Pgto Parcela 5/36 Financiamento,PGTO FUNC.
1/20/2020,-3157,"1455734,59",Pgto Mobiliário - Dual Forma 1/2,PGTO FUNC.
1/20/2020,-2582,"1453152,59",Pgto GPS 13 ° Salário,PGTO FUNC.
1/20/2020,-511,"1452641,59",Pgto DARF 0561 IRRF/13° Salário,PGTO FUNC.
1/20/2020,-23,"1452618,59",Pgto DARF 5952 CRDC NF 15003,PGTO FUNC.
1/20/2019,-585,"1452033,59",Pgto DARF 0561 IRRF/Folha,PGTO FUNC.
1/20/2020,-386,"1451647,59",Pgto GPS C de Campos Trans e Serv Ter,PGTO FUNC.
1/20/2020,-47,"1451600,59",Pgto DARF 1708 MSX Consult NF 778,PGTO FUNC.
1/20/2020,-145,"1451455,59",Pgto DARF 5952 MSX Consult NF 778,PGTO FUNC.
1/20/2020,-45,"1451410,59",Pgto DARF 1708 MSX Consult NF 779,PGTO FUNC.
1/20/2020,-141,"1451269,59",Pgto DARF 5952 MSX Consult NF 779,PGTO FUNC.
1/20/2020,-42,"1451227,59",Pgto DARF 1708 MSX Consult NF 780,PGTO FUNC.
1/20/2020,-131,"1451096,59",Pgto DARF 5952 MSX Consult NF 780,PGTO FUNC.
1/20/2020,-62,"1451034,59",Pgto DARF 5952 Cepeda Grec NF 28844,PGTO FUNC.
1/20/2020,-20,"1451014,59",Pgto DARF 1708 Cepeda Grec NF 28844,PGTO FUNC.
1/20/2020,-476,"1450538,59",Pgto DARF 5952 Cepeda Grec NF 29032,PGTO FUNC.
1/20/2020,-153,"1450385,59",Pgto DARF 1708 Cepeda Grec NF 29032,PGTO FUNC.
1/20/2020,-27088,"1423297,59",Pgto DARF 5952 Guilherme B. NF 102,PGTO FUNC.
1/20/2020,-8738,"1414559,59",Pgto DARF 1708 Guilherme B. NF 102,PGTO FUNC.
1/20/2020,-348,"1414211,59",Pgto DARF 5952 Balera Berbel NF 1559,PGTO FUNC.
1/20/2020,-112,"1414099,59",Pgto DARF 1708 Balera Berbel NF 1559,PGTO FUNC.
1/20/2020,-109,"1413990,59",Pgto Whirlpool,PGTO FUNC.
1/20/2020,-360,"1413630,59",Pgto Net,PGTO FUNC.
1/20/2020,-1496,"1412134,59",Pgto Asplan,PGTO FUNC.
1/20/2020,-7277,"1404857,59",Pgto GPS,PGTO FUNC.
1/20/2020,-27129,"1377728,59",Pgto Anbima,PGTO FUNC.
1/20/2020,-100,"1377628,59",Pgto Voicecorp - linha contingencial,PGTO FUNC.
1/20/2020,-10,"1377618,59",Tarifa Bancária DOC/TED,PGTO FUNC.
1/21/2020,96,"1377714,59",Ajuste de credito ref. Aplicação automatica,PGTO FUNC.
1/21/2020,-317,"1377397,59",Pgto Stamples do Brasil - folha Sulfite,PGTO FUNC.
1/21/2020,-432,"1376965,59",Pgto Alelo Mário Carvalho - 10 dias,PGTO FUNC.
1/21/2020,-750000,"626965,59",Aplicação Veritas TOP,PGTO FUNC.
1/21/2020,-10,"626955,59",Tarifa Bancária DOC/TED,PGTO FUNC.
1/22/2020,50,"627005,59",Ajuste de credito ref. Aplicação automatica,PGTO FUNC.
1/22/2020,-2699,"624306,59",Pgto Energia,PGTO FUNC.
1/22/2020,-2656,"621650,59",Pgto MSX Consult Nf 814,PGTO FUNC.
1/22/2020,-10,"621640,59",Tarifa Bancária DOC/TED,PGTO FUNC.
1/22/2020,-252,"621388,59",Pgto TOK-STOK - COPOS,PGTO FUNC.
1/22/2020,-200,"621188,59",Pgto Creditos Registradores.org,PGTO FUNC.
1/23/2020,62,"621250,59",Ajuste de credito ref. Aplicação automatica,PGTO FUNC.
1/23/2020,-700,"620550,59",Pgto M M Primo nf 323752,PGTO FUNC.
1/23/2020,-2236,"618314,59",Pgto Agencia Estado - Broadcast,PGTO FUNC.
1/24/2020,60,"618374,59",Ajuste de credito ref. Aplicação automatica,PGTO FUNC.
1/24/2020,7143,"625517,59",Credito TMJ RF RV - pro rata dez/19,PGTO FUNC.
1/24/2020,-594,"624923,59",Pgto Assist Locação,PGTO FUNC.
1/24/2020,-1018,"623905,59",Pgto Assist Impressões,PGTO FUNC.
1/24/2020,-11647,"612258,59",Pgto DARF 8109 PIS Dez/19,PGTO FUNC.
1/24/2020,-53758,"558500,59",Pgto DARF 2172 Cofins Dez/19,PGTO FUNC.
1/27/2020,115,"558615,59",Ajuste de credito ref. Aplicação automatica,PGTO FUNC.
1/27/2020,-7200,"551415,59",Pgto E-BEE NF 197,PGTO FUNC.
1/27/2020,-10800,"540615,59",Pgto Alelo VR- fev/19,PGTO FUNC.
1/27/2020,-712,"539903,59",Pgto SP Trans - VT,PGTO FUNC.
1/27/2020,-1000,"538903,59",Pgto Eduardo Soares - Paralegal VCM,PGTO FUNC.
1/27/2020,-20,"538883,59",Tarifa Bancária DOC/TED,PGTO FUNC.
1/28/2020,66,"538949,59",Ajuste de credito ref. Aplicação automatica,PGTO FUNC.
1/28/2020,-7422,"531527,59",Pgto DELL - Monitores e Notebook,PGTO FUNC.
1/29/2020,78,"531605,59",Ajuste de credito ref. Aplicação automatica,PGTO FUNC.
1/29/2020,-30000,"501605,59",Antecipação de Dividendos - Rodrigo,PGTO FUNC.
1/29/2020,-30000,"471605,59",Antecipação de Dividendos - Qualitas,PGTO FUNC.
1/29/2020,-10,"471595,59",Tarifa Bancária DOC/TED,PGTO FUNC.
1/30/2020,65,"471660,59",Ajuste de credito ref. Aplicação automatica,PGTO FUNC.
1/30/2020,-3800,"467860,59",Pgto Sonchim Almeida Scarpa e Bragagnolo,PGTO FUNC.
1/30/2020,-3877,"463983,59",Pgto Omega Assessoria NF 11845,PGTO FUNC.
1/30/2020,-3125,"460858,59",Pgto Marella - Viagem Gui e Fernando para SDU,PGTO FUNC.
1/30/2020,-10,"460848,59",Tarifa Bancária DOC/TED,PGTO FUNC.
1/30/2020,-160,"460688,59",Pgto Leitora Certificado digital,PGTO FUNC.
1/31/2020,68,"460756,59",Ajuste de credito ref. Aplicação automatica,PGTO FUNC.
1/31/2020,-141157,"319599,59",Pgto IRPJ 04 TRIM 1/3,PGTO FUNC.
1/31/2020,-52214,"267385,59",Pgto CSLL 04 TRIM 1/3,PGTO FUNC.
2/3/2020,81,"267443,65",Ajuste de credito ref. Aplicação automatica,PGTO FUNC.
2/3/2020,-7623,"259820,65",Pgto Condomínio Ed Metropolitan,PGTO FUNC.
2/3/2020,-27850,"231970,65",Pgto QCP - Qualitas Capital Partners,PGTO FUNC.
2/3/2020,-2447,"229523,65",Pgto Flávio Rietmann,PGTO FUNC.
2/3/2020,-40000,"189523,65",Pgto Rodrigo Moratelli,PGTO FUNC.
2/3/2020,-17000,"172523,65",Pgto Guilherme Marques,PGTO FUNC.
2/3/2020,-13200,"159323,65",Pgto Danilo Tamburus,PGTO FUNC.
2/3/2020,-10000,"149323,65",Pgto Sergio Rossi,PGTO FUNC.
2/3/2020,-9340,"139983,65",Pgto Fabio Amaral,PGTO FUNC.
2/3/2020,-8000,"131983,65",Pgto Isadora Ferreira,PGTO FUNC.
2/3/2020,-5000,"126983,65",Pgto Leonardo de Luca,PGTO FUNC.
2/3/2020,-5000,"121983,65",Pgto Fernando Daier,PGTO FUNC.
2/3/2020,-13200,"108783,65",Pgto Lidiberto,PGTO FUNC.
2/3/2020,-4500,"104283,65",Pgto Paula Iglesias,PGTO FUNC.
2/3/2020,-8360,"95923,65",Pgto Danilo Miura,PGTO FUNC.
2/3/2020,-4840,"91083,65",Pgto Mario,PGTO FUNC.
2/3/2020,-1403,"89680,65",Pgto Leandro - Estagiário,PGTO FUNC.
2/3/2020,-1350,"88330,65",Pgto Andre - Estagiário,PGTO FUNC.
2/3/2020,-338,"87992,65",Pgto Host Fiber - Link BKP,PGTO FUNC.
2/3/2020,-1352,"86640,65",Pgto Host Fiber - Link Principal,PGTO FUNC.
2/3/2020,-1400,"85240,65",Pgto Manutenção Fernando Hadad,PGTO FUNC.
2/3/2020,-20,"85220,65",Tarifa Bancária DOC/TED,PGTO FUNC.
2/3/2020,-34,"85186,65",Pgto Cartão de Crédito Visa,PGTO FUNC.
2/4/2020,16,"85202,65",Ajuste de credito ref. Aplicação automatica,PGTO FUNC.
2/4/2020,-915,"84287,65",Pgto Everton Mensageiro NF 058,PGTO FUNC.
2/4/2020,-472,"83815,65",Pgto Signallink,PGTO FUNC.
2/4/2020,-2000,"81815,65",Pgto Contabilidade NF 468,PGTO FUNC.
2/4/2020,-2940,"78875,65",Pgto MSX Consult Nf 827,PGTO FUNC.
2/4/2020,-2716,"76159,65",Pgto MSX Consult Nf 828,PGTO FUNC.
2/4/2020,-41,"76118,65",Tarifa Bancária DOC/TED,PGTO FUNC.
2/4/2020,-25000,"51118,65",Antecipação de Dividendos - Rodrigo,PGTO FUNC.
2/4/2020,-25000,"26118,65",Antecipação de Dividendos - Qualitas,PGTO FUNC.
2/5/2020,4,"26122,65",Ajuste de credito ref. Aplicação automatica,PGTO FUNC.
2/5/2020,-430,"25692,65",Pgto DARF 3562 IR S/PL EX2019,PGTO FUNC.
2/5/2020,-500,"25192,65",Pgto Criação e Imagem,PGTO FUNC.
2/5/2020,-1000,"24192,65",Saque Caixinha,PGTO FUNC.
2/5/2020,-3749,"20443,65",Pgto C de Campos Trans e Serv Ter,PGTO FUNC.
2/5/2020,-3792,"16651,65",IPTU 1/10,PGTO FUNC.
2/5/2020,-10,"16641,65",Tarifa Bancária DOC/TED,PGTO FUNC.
2/5/2020,-17,"16624,65",Anuidade Cartão de Crédito,PGTO FUNC.
2/5/2020,-24,"16600,65",Tarifa Bancária Funcs Net Empresa,PGTO FUNC.
2/6/2020,3,"16603,65",Ajuste de credito ref. Aplicação automatica,PGTO FUNC.
2/6/2020,15000,"31603,65",Credito Tollog - Taxa Gestão Jan/20,PGTO FUNC.
2/6/2020,318209,"349812,65",Credito Symphony - Taxa Gestão Jan/20,PGTO FUNC.
2/6/2020,-506,"349306,65",Pgto Conselho de Contabilidade - Eduardo Soares,PGTO FUNC.
2/6/2020,-10,"349296,65",Tarifa Bancária DOC/TED,PGTO FUNC.
2/5/2020,-30796,"318500,65",Pgto JHSF Aluguel - DEVOLUÇÃO VIA,PGTO FUNC.
2/7/2020,3,"318503,65",Ajuste de credito ref. Aplicação automatica,PGTO FUNC.
2/7/2020,4369,"322872,65",Credito Veritas TOP - Taxa Gestão JAN/20,PGTO FUNC.
2/7/2020,18777,"341649,65",Credito Multiplica - Taxa Gestão JAN/20,PGTO FUNC.
2/7/2020,26602,"368251,65",Credito Veritas Apogeu I FIDC - Taxa Gestão - JAN/20,PGTO FUNC.
2/7/2020,29476,"397727,65",Credito Veritas Apogeu FIM - Taxa Gestão JAN/20,PGTO FUNC.
2/7/2020,349862,"747589,65",Credito NINKA - Taxa Gestão JAN/20,PGTO FUNC.
2/7/2020,195623,"943212,65",Credito MERAK - Taxa Gestão JAN/20,PGTO FUNC.
2/7/2020,612176,"1555388,65",Credito Marte - Taxa Gestão JAN/20,PGTO FUNC.
2/7/2020,155308,"1710696,65",Credito CJP - Taxa Gestão - JAN/20,PGTO FUNC.
2/7/2020,25000,"1735696,65",Credito Singapore - Taxa Gestão JAN/20,PGTO FUNC.
2/7/2020,85000,"1820696,65",Credito TMJ IMA-B - Taxa Gestão JAN/20,PGTO FUNC.
2/7/2020,7272,"1827968,65",Credito UM I A M FIRF Taxa de Gestão Jan/20,PGTO FUNC.
2/7/2020,7272,"1835240,65",Credito UM I A M I FIRF Taxa de Gestão Jan/20,PGTO FUNC.
2/7/2020,19090,"1854330,65",Credito MLZ IMA-B FIRF Taxa de Gestão - JAN/20,PGTO FUNC.
2/7/2020,25000,"1879330,65",Credito IMA-B 1000 FIC RENDA FIXA LP,PGTO FUNC.
2/7/2020,-145000,"1734330,65",Antecipação de Dividendos - Qualitas,PGTO FUNC.
2/7/2020,-145000,"1589330,65",Antecipação de dividendos - Rodrigo,PGTO FUNC.
2/7/2020,-10,"1589320,65",Tarifa Bancária DOC/TED,PGTO FUNC.
2/7/2020,-451,"1588869,65",Pgto FGTS,PGTO FUNC.
2/7/2020,-210,"1588659,65",Pgto Prizemed,PGTO FUNC.
2/7/2020,-208,"1588451,65",Pgto Multa Velar,PGTO FUNC.
2/10/2020,4,"1588455,65",Ajuste de credito ref. Aplicação automatica,PGTO FUNC.
2/10/2020,7469,"1595924,65",Credito Michael Lacanal,PGTO FUNC.
2/10/2020,-2656,"1593268,65",Pgto MSX Consult Nf 834,PGTO FUNC.
2/10/2020,-148,"1593120,65",Pgto 99 Tecnologia,PGTO FUNC.
2/10/2020,-4955,"1588165,65",Pgto Quick Soft,PGTO FUNC.
2/10/2020,-369,"1587796,65",Pgto Cartório,PGTO FUNC.
2/10/2020,-2180,"1585616,65",Pgto Prajna,PGTO FUNC.
2/10/2020,-12100,"1573516,65",Pgto Marella FT 6663,PGTO FUNC.
2/10/2020,-20,"1573496,65",Tarifa Bancária DOC/TED,PGTO FUNC.
2/10/2020,-119893,"1453603,65",Pgto ISS,PGTO FUNC.
2/10/2020,-4523,"1449080,65",Pgto ISS Qualitas - Jan/20,PGTO FUNC.
2/10/2020,-4255,"1444825,65",Pgto ISS Qualitas - Dez/19,PGTO FUNC.
2/10/2020,-2180,"1442645,65",Pgto Cartão de Crédito Elo,PGTO FUNC.
2/10/2020,-3255,"1439390,65",Pgto Cartão Credito Master,PGTO FUNC.
2/11/2020,2,"1439392,65",Ajuste de credito ref. Aplicação automatica,PGTO FUNC.
2/11/2020,10000,"1449392,65",Devolução Valor enviado para VIA,PGTO FUNC.
2/11/2020,-10000,"1439392,65",Transferencia para VIA,PGTO FUNC.
2/11/2020,-86561,"1352831,65",Pgto Invoice - Cartão Credito Qualitas,PGTO FUNC.
2/11/2020,-10,"1352821,65",Tarifa Bancária DOC/TED,PGTO FUNC.
2/12/2020,2,"1352823,65",Ajuste de credito ref. Aplicação automatica,PGTO FUNC.
2/12/2020,65000,"1417823,65",Credito Monte Carlo parte taxa de gestão DEZ/19,PGTO FUNC.
2/12/2020,-35331,"1382492,65",Pgto Passsagem Rodrigo - Person of the year,PGTO FUNC.
2/12/2020,-450,"1382042,65",Pgto 50 Mais Digital NF 081,PGTO FUNC.
2/12/2020,-1516,"1380526,65",Pgto Superix 1/3,PGTO FUNC.
2/12/2020,-10,"1380516,65",Tarifa Bancária DOC/TED,PGTO FUNC.
2/13/2020,8,"1380524,65",Ajuste de credito ref. Aplicação automatica,PGTO FUNC.
2/13/2020,-3200,"1377324,65",Pgto Dif salarial Sergio,PGTO FUNC.
2/13/2020,-532,"1376792,65",Pgto Progestiona - Curso Fernando Daier,PGTO FUNC.
2/14/2020,17,"1376809,65",Ajuste de credito ref. Aplicação automatica,PGTO FUNC.
2/14/2020,-1212,"1375597,65",Pgto PK12 Estacionamento NF4599,PGTO FUNC.
2/14/2020,-399,"1375198,65",Pgto Conect -Serasa,PGTO FUNC.
2/14/2020,-1790,"1373408,65",Reembolso Qualitas,PGTO FUNC.
2/14/2020,-10,"1373398,65",Tarifa Bancária DOC/TED,PGTO FUNC.
2/14/2020,-403,"1372995,65",Pgto Contribuição Patronal - SESCON,PGTO FUNC.
2/17/2020,58,"1373053,65",Ajuste de credito ref. Aplicação automatica,PGTO FUNC.
2/17/2020,-63409,"1309644,65","Pgto Montjoie Acessoria NF R$67.564,36",PGTO FUNC.
2/17/2020,-6500,"1303144,65",Pgto Enrico Mollica NF 054 7/10,PGTO FUNC.
2/17/2020,-714578,"588566,65","Pgto Guilherme Bussadori NF R$ 761.404,84",PGTO FUNC.
2/17/2020,-9550,"579016,65",Pgto Scansource - Licença Azurecsp nf 111871,PGTO FUNC.
2/17/2020,-515,"578501,65",Pgto Scansource nf 111892,PGTO FUNC.
2/17/2020,-483,"578018,65",Pgto CRDC,PGTO FUNC.
2/17/2020,-12312,"565706,65",Pgto Auditoria BDO 1/4,BANCO
2/17/2020,-31,"565675,65",Tarifa Bancária DOC/TED,BANCO
